SPEC_ID,NAME,RA,DEC,Z,Quality,HB_score,HA_score,OIII_score,HB_width,HA_width,OIII_width,Std,Two_mad,Three_mad,Good_twomad,Good_threemad,Narrow_2si,Narrow_3si,Narrow_3si_6
20018,g0408405-840233,62.16866667,-84.0425,0.041836,4,0.222307887,0.333392381,0.332322627,4.101173608,3.020784714,0.116013907,0.15774798,0.140615576,0.210923364,true,true,true,true,true
20025,g0426237-844334,66.59875,-84.72616667,0.064118,4,2.162947464,0.861906192,0.896020263,4.333900609,3.261624069,0.423328071,0.150565585,0.135220882,0.202831323,true,true,true,true,true
20737,g0402302-784551,60.62566667,-78.76422222,0.058979,4,0.421802407,0.493683913,2.038253556,5.389306816,3.751888638,1.058836096,0.170634596,0.117140464,0.175710695,true,true,true,true,true
20742,g0416327-791656,64.13608333,-79.28213889,0.05393,4,0.755962101,0.307952637,0.285919723,4.078913331,2.94303981,0.132781169,0.141115533,0.092720642,0.139080963,true,true,true,true,true
20750,g0416231-802056,64.09616667,-80.34880556,0.015841,4,0.57522657,0.459229233,0.303087709,4.10734351,3.526909707,0.13338207,0.103582822,0.079794503,0.119691754,true,true,true,true,true
22312,g0400581-554946,60.24220833,-55.82941667,0.047261,4,1.284762494,0.224122066,1.478869521,4.087055449,4.196120832,0.704199963,0.163877365,0.129359809,0.194039713,true,true,true,true,true
22316,not__in__config,60.83583333,-56.44216667,0.028201,4,1.273837585,0.432399074,0.961404386,4.232218238,2.469356487,0.4450324,0.199061382,0.175260733,0.262891099,true,true,true,true,true
22322,g0400290-571120,60.12083333,-57.18897222,0.113462,4,0.439085012,0.241675404,0.290274633,5.1388346,0.539080377,0.077667406,0.151794494,0.137966603,0.206949904,true,true,true,true,true
22336,not__in__config,60.124375,-58.90227778,0.02203,4,0.458862082,2.236738886,0.703191375,3.876757078,5.162936267,0.316774565,0.332465056,0.261538066,0.392307099,true,true,true,true,true
22523,not__in__config,60.31066667,-45.59961111,0.099875,4,0.699171074,1.271783295,0.675947936,5.136038177,5.894785834,7.504692481,0.282739665,0.230278578,0.345417866,true,true,true,true,true
22531,not__in__config,60.741375,-46.54055556,0.042525,4,5.173170688,8.369222931,12.45471433,4.448150577,4.851909326,6.121011978,0.677170997,0.236141004,0.354211507,true,true,true,true,true
22597,g0408249-673329,62.10383333,-67.55802778,0.053629,4,0.302923135,0.348317984,0.79876489,6.636998773,4.348995616,0.361667895,0.135200076,0.105287056,0.157930584,true,true,true,true,false
22606,g0416249-685559,64.103875,-68.93291667,0.059261,4,0.603113325,0.294473588,0.271273477,5.927898026,1.463553725,0.10477306,0.118361036,0.076040902,0.114061353,true,true,true,true,true
